Easting,Northing,surf,bed,hice,dist
-1457455,-377723,963.7943115234375,-815.1456,1784.1694,0.0
-1457355,-377723,962.632080078125,-815.1456,1784.1694,0.1
-1457446,-377763,963.7943115234375,-815.1456,1784.1694,0.2
-1457538,-377802,964.7193603515625,-803.4937,1776.9489,0.3
-1457627,-377847,965.8712768554688,-803.4937,1776.9489,0.4
-1457719,-377888,965.8712768554688,-803.4937,1776.9489,0.5
-1457812,-377924,966.6301879882812,-803.4937,1776.9489,0.6
-1457894,-377980,966.6301879882812,-803.4937,1776.9489,0.7
-1457979,-378034,967.548828125,-800.1532,1774.1317,0.8
-1458074,-378066,967.9974975585938,-790.6946,1767.8004,0.9
-1458170,-378094,967.9974975585938,-790.6946,1767.8004,1.0
-1458265,-378122,967.8419799804688,-790.6946,1767.8004,1.1
-1458360,-378156,967.8419799804688,-790.6946,1767.8004,1.2
-1458453,-378192,966.9754028320312,-790.6946,1767.8004,1.3
-1458546,-378227,968.031982421875,-785.9648,1762.8662,1.4
-1458638,-378269,966.5167846679688,-785.9648,1762.8662,1.5
-1458730,-378306,966.5167846679688,-785.9648,1762.8662,1.6
-1458823,-378345,964.49169921875,-785.9648,1762.8662,1.7
-1458914,-378386,964.49169921875,-785.9648,1762.8662,1.8
-1459005,-378425,962.8966674804688,-786.5906,1759.1914,1.9
-1459098,-378462,962.8966674804688,-786.5906,1759.1914,2.0
-1459191,-378499,962.8966674804688,-786.5906,1759.1914,2.1
-1459285,-378535,959.7900390625,-780.2119,1752.7904,2.2
-1459378,-378570,959.7900390625,-780.2119,1752.7904,2.3
-1459472,-378604,956.7312622070312,-780.2119,1752.7904,2.4
-1459567,-378635,956.7312622070312,-783.87,1749.1675,2.5
-1459662,-378668,952.6739501953125,-783.87,1749.1675,2.6
-1459756,-378702,952.6739501953125,-783.87,1749.1675,2.7
-1459849,-378737,948.295654296875,-783.87,1749.1675,2.8
-1459943,-378773,948.295654296875,-783.87,1749.1675,2.9
-1460037,-378808,943.8141479492188,-791.81946,1746.4489,3.0
-1460130,-378842,943.8141479492188,-791.81946,1746.4489,3.1
-1460224,-378876,939.1426391601562,-791.81946,1746.4489,3.2
-1460318,-378911,939.1426391601562,-791.81946,1746.4489,3.3
-1460411,-378947,934.5079345703125,-791.81946,1746.4489,3.4
-1460505,-378982,934.5079345703125,-803.0703,1745.8486,3.5
-1460598,-379018,934.0418701171875,-798.4754,1740.7188,3.6
-1460692,-379055,929.195068359375,-798.4754,1740.7188,3.7
-1460785,-379091,929.195068359375,-798.4754,1740.7188,3.8
-1460878,-379128,925.6884155273438,-798.4754,1740.7188,3.9
-1460971,-379165,925.6884155273438,-798.4754,1740.7188,4.0
-1461064,-379202,920.9262084960938,-813.24347,1743.4929,4.1
-1461156,-379241,920.9262084960938,-813.24347,1743.4929,4.2
-1461249,-379278,918.3984985351562,-813.24347,1743.4929,4.3
-1461341,-379315,918.3984985351562,-813.24347,1743.4929,4.4
-1461433,-379354,916.2713623046875,-813.24347,1743.4929,4.5
-1461525,-379393,916.2713623046875,-827.0483,1750.2915,4.6
-1461617,-379434,913.064697265625,-827.0483,1750.2915,4.7
-1461707,-379476,913.064697265625,-827.0483,1750.2915,4.8
-1461798,-379520,913.064697265625,-827.4547,1747.789,4.9
-1461889,-379559,911.3414306640625,-827.4547,1747.789,5.0
-1461980,-379602,909.9039916992188,-827.4547,1747.789,5.1
-1462071,-379644,908.3816528320312,-841.96045,1757.3865,5.2
-1462163,-379683,908.3816528320312,-841.96045,1757.3865,5.3
-1462254,-379723,906.79833984375,-841.96045,1757.3865,5.4
-1462346,-379764,906.79833984375,-841.96045,1757.3865,5.5
-1462438,-379801,903.4248657226562,-841.96045,1757.3865,5.6
-1462529,-379845,903.4248657226562,-857.7805,1769.0789,5.7
-1462617,-379890,901.642822265625,-857.7805,1769.0789,5.8
-1462706,-379938,901.642822265625,-857.7805,1769.0789,5.9
-1462792,-379989,901.642822265625,-857.7805,1769.0789,6.0
-1462879,-380036,898.4741821289062,-858.58405,1766.5721,6.1
-1462963,-380092,898.4741821289062,-858.58405,1766.5721,6.2
-1463050,-380141,896.599365234375,-874.5852,1778.8467,6.3
-1463134,-380194,896.599365234375,-874.5852,1778.8467,6.4
-1463219,-380249,893.9417724609375,-874.5852,1778.8467,6.5
-1463307,-380296,893.9417724609375,-874.5852,1778.8467,6.6
-1463396,-380342,893.9417724609375,-874.5852,1778.8467,6.7
-1463485,-380387,891.9826049804688,-874.5852,1778.8467,6.8
-1463571,-380438,891.6079711914062,-892.7989,1792.9851,6.9
-1463657,-380489,890.0787963867188,-892.7989,1792.9851,7.0
-1463743,-380540,890.0787963867188,-890.67505,1790.0221,7.1
-1463828,-380593,888.3758544921875,-890.67505,1790.0221,7.2
-1463912,-380646,888.4754638671875,-890.67505,1790.0221,7.3
-1463994,-380704,888.4754638671875,-890.67505,1790.0221,7.4
-1464073,-380766,887.0895385742188,-909.232,1805.689,7.5
-1464152,-380827,887.14794921875,-909.232,1805.689,7.6
-1464234,-380884,886.033935546875,-909.232,1805.689,7.7
-1464316,-380942,886.033935546875,-909.232,1805.689,7.8
-1464396,-381001,886.3920288085938,-906.69745,1803.3629,7.9
-1464482,-381053,885.4893188476562,-906.69745,1803.3629,8.0
-1464569,-381102,885.4893188476562,-924.3408,1819.299,8.1
-1464655,-381152,884.8642578125,-924.3408,1819.299,8.2
-1464742,-381203,885.39794921875,-924.3408,1819.299,8.3
-1464831,-381248,885.2205810546875,-924.3408,1819.299,8.4
-1464922,-381290,885.2205810546875,-924.3408,1819.299,8.5
-1465013,-381331,885.1943969726562,-939.978,1834.504,8.6
-1465100,-381380,885.1943969726562,-939.978,1834.504,8.7
-1465188,-381427,885.93701171875,-939.978,1834.504,8.8
-1465280,-381465,886.6660766601562,-939.978,1834.504,8.9
-1465374,-381499,886.6660766601562,-939.978,1834.504,9.0
-1465470,-381529,887.4717407226562,-934.6997,1832.3635,9.1
-1465567,-381554,887.4717407226562,-948.3638,1846.6504,9.2
-1465664,-381578,888.8743286132812,-948.3638,1846.6504,9.3
-1465764,-381574,888.8743286132812,-948.3638,1846.6504,9.4
-1465863,-381559,890.8346557617188,-948.3638,1846.6504,9.5
-1465962,-381544,890.8346557617188,-948.3638,1846.6504,9.6
-1466060,-381524,892.9187622070312,-960.19104,1860.9056,9.7
-1466159,-381535,892.9187622070312,-960.19104,1860.9056,9.8
-1466259,-381544,895.0908203125,-960.19104,1860.9056,9.9
-1466355,-381570,895.0908203125,-960.19104,1860.9056,10.0
-1466449,-381603,897.06396484375,-960.19104,1860.9056,10.1
-1466544,-381637,897.06396484375,-969.13074,1874.247,10.2
-1466632,-381685,898.9293823242188,-969.13074,1874.247,10.3
-1466714,-381740,898.9293823242188,-969.13074,1874.247,10.4
-1466800,-381791,898.9293823242188,-969.13074,1874.247,10.5
-1466887,-381842,900.2290649414062,-969.13074,1874.247,10.6
-1466974,-381892,900.2290649414062,-969.13074,1874.247,10.7
-1467061,-381941,901.7073364257812,-976.38965,1885.7917,10.8
-1467148,-381990,901.7073364257812,-976.38965,1885.7917,10.9
-1467234,-382041,902.6868286132812,-974.22125,1882.4572,11.0
-1467323,-382087,902.6868286132812,-974.22125,1882.4572,11.1
-1467410,-382136,904.221923828125,-974.22125,1882.4572,11.2
