Easting,Northing,surf,bed,hice,dist
-1446976,-369948,1044.7918701171875,-858.8817,1912.8622,0.0
-1447063,-369995,1043.794921875,-833.77893,1884.1674,0.1
-1447150,-370044,1039.733642578125,-823.77527,1863.3755,0.2
-1447238,-370094,1038.65478515625,-823.77527,1863.3755,0.3
-1447325,-370143,1038.65478515625,-823.77527,1863.3755,0.4
-1447412,-370192,1037.5101318359375,-823.77527,1863.3755,0.5
-1447500,-370239,1033.140625,-823.77527,1863.3755,0.6
-1447587,-370287,1033.140625,-812.4695,1849.2803,0.7
-1447675,-370337,1032.06005859375,-812.4695,1849.2803,0.8
-1447762,-370384,1032.06005859375,-812.4695,1849.2803,0.9
-1447851,-370431,1026.3983154296875,-812.4695,1849.2803,1.0
-1447938,-370479,1026.3983154296875,-812.4695,1849.2803,1.1
-1448025,-370528,1025.1300048828125,-812.64825,1835.7455,1.2
-1448113,-370578,1025.1300048828125,-812.64825,1835.7455,1.3
-1448200,-370627,1020.9942626953125,-812.64825,1835.7455,1.4
-1448286,-370676,1019.850341796875,-812.64825,1835.7455,1.5
-1448373,-370727,1019.850341796875,-812.64825,1835.7455,1.6
-1448460,-370775,1018.6005859375,-812.64825,1835.7455,1.7
-1448547,-370824,1014.931640625,-813.6701,1834.9708,1.8
-1448635,-370874,1013.9902954101562,-813.6701,1834.9708,1.9
-1448722,-370921,1013.9902954101562,-813.6701,1834.9708,2.0
-1448810,-370969,1012.0896606445312,-813.6701,1834.9708,2.1
-1448898,-371016,1009.3915405273438,-825.55457,1838.9805,2.2
-1448987,-371063,1009.3915405273438,-825.55457,1838.9805,2.3
-1449076,-371109,1007.8932495117188,-824.5171,1837.3812,2.4
-1449166,-371153,1007.8932495117188,-824.5171,1837.3812,2.5
-1449256,-371194,1006.1129760742188,-824.5171,1837.3812,2.6
-1449347,-371237,1004.4657592773438,-824.5171,1837.3812,2.7
-1449438,-371279,1002.65576171875,-824.5171,1837.3812,2.8
-1449527,-371324,1002.65576171875,-824.2468,1834.4962,2.9
-1449617,-371367,1001.0836181640625,-824.2468,1834.4962,3.0
-1449709,-371408,1000.5932006835938,-824.2468,1834.4962,3.1
-1449801,-371447,999.720703125,-824.2468,1834.4962,3.2
-1449889,-371494,999.720703125,-824.2468,1834.4962,3.3
-1449977,-371542,999.720703125,-833.95337,1843.2036,3.4
-1450065,-371589,998.5410766601562,-831.8616,1839.9601,3.5
-1450159,-371624,998.8778076171875,-831.8616,1839.9601,3.6
-1450255,-371649,998.371826171875,-831.8616,1839.9601,3.7
-1450351,-371679,998.371826171875,-831.8616,1839.9601,3.8
-1450447,-371708,997.6449584960938,-831.8616,1839.9601,3.9
-1450541,-371739,997.6449584960938,-829.63367,1836.3296,4.0
-1450630,-371787,997.4005737304688,-829.63367,1836.3296,4.1
-1450714,-371841,997.6757202148438,-829.63367,1836.3296,4.2
-1450803,-371887,997.032470703125,-829.63367,1836.3296,4.3
-1450890,-371936,997.032470703125,-829.63367,1836.3296,4.4
-1450983,-371972,997.032470703125,-829.63367,1836.3296,4.5
-1451073,-372014,996.5608520507812,-833.7284,1839.6753,4.6
-1451163,-372060,996.5608520507812,-833.7284,1839.6753,4.7
-1451257,-372094,996.27880859375,-833.7284,1839.6753,4.8
-1451351,-372125,996.27880859375,-833.7284,1839.6753,4.9
-1451447,-372156,995.6502685546875,-833.7284,1839.6753,5.0
-1451543,-372185,995.6502685546875,-830.4844,1834.7029,5.1
-1451638,-372215,995.1172485351562,-830.4844,1834.7029,5.2
-1451729,-372257,995.1172485351562,-830.4844,1834.7029,5.3
-1451819,-372300,994.0347900390625,-830.4844,1834.7029,5.4
-1451914,-372331,994.0347900390625,-830.4844,1834.7029,5.5
-1451996,-372388,994.0347900390625,-830.4844,1834.7029,5.6
-1452077,-372447,993.3034057617188,-827.54755,1829.5137,5.7
-1452171,-372482,993.3034057617188,-827.54755,1829.5137,5.8
-1452262,-372523,992.5465698242188,-836.09174,1838.8506,5.9
-1452351,-372568,992.5465698242188,-836.09174,1838.8506,6.0
-1452440,-372612,991.7066650390625,-836.09174,1838.8506,6.1
-1452529,-372659,991.7066650390625,-835.6065,1835.8441,6.2
-1452621,-372697,990.5864868164062,-835.6065,1835.8441,6.3
-1452708,-372746,990.5864868164062,-835.6065,1835.8441,6.4
-1452787,-372809,991.0139770507812,-835.6065,1835.8441,6.5
-1452865,-372870,989.6438598632812,-835.6065,1835.8441,6.6
-1452944,-372933,989.6438598632812,-835.6065,1835.8441,6.7
-1453025,-372991,988.1934204101562,-835.58307,1832.9641,6.8
-1453099,-373058,988.718994140625,-841.7855,1841.1602,6.9
-1453173,-373126,988.718994140625,-841.7855,1841.1602,7.0
-1453247,-373193,986.9789428710938,-841.7855,1841.1602,7.1
-1453330,-373249,987.5502319335938,-841.7855,1841.1602,7.2
-1453413,-373305,985.9494018554688,-841.7855,1841.1602,7.3
-1453496,-373359,985.9494018554688,-841.7855,1841.1602,7.4
-1453582,-373410,987.089599609375,-842.2831,1837.6477,7.5
-1453670,-373457,984.990478515625,-842.2831,1837.6477,7.6
-1453760,-373503,984.990478515625,-844.1758,1843.3722,7.7
-1453849,-373548,983.1648559570312,-844.1758,1843.3722,7.8
-1453936,-373598,983.1648559570312,-844.1758,1843.3722,7.9
-1454018,-373655,982.5014038085938,-844.3098,1839.0288,8.0
-1454101,-373711,982.5014038085938,-844.3098,1839.0288,8.1
-1454197,-373738,982.5014038085938,-844.3098,1839.0288,8.2
-1454295,-373759,980.1611938476562,-844.3098,1839.0288,8.3
-1454393,-373779,980.1611938476562,-844.3098,1839.0288,8.4
-1454491,-373799,977.642578125,-844.3098,1839.0288,8.5
-1454590,-373812,979.6599731445312,-846.25183,1835.1246,8.6
-1454686,-373838,976.660888671875,-846.25183,1835.1246,8.7
-1454768,-373896,976.660888671875,-846.25183,1835.1246,8.8
-1454844,-373960,974.1189575195312,-846.25183,1835.1246,8.9
-1454920,-374025,976.0780639648438,-844.22595,1837.3213,9.0
-1455005,-374079,973.0675048828125,-845.8033,1832.0062,9.1
-1455091,-374131,973.0675048828125,-845.8033,1832.0062,9.2
-1455178,-374180,973.0675048828125,-845.8033,1832.0062,9.3
-1455266,-374227,971.9239501953125,-845.8033,1832.0062,9.4
-1455354,-374275,971.9239501953125,-845.8033,1832.0062,9.5
-1455441,-374324,969.0791015625,-845.8033,1832.0062,9.6
-1455533,-374364,969.0791015625,-846.0103,1825.5918,9.7
-1455625,-374402,968.560302734375,-846.0103,1825.5918,9.8
-1455718,-374439,968.560302734375,-846.0103,1825.5918,9.9
-1455802,-374493,966.203125,-846.0103,1825.5918,10.0
-1455886,-374548,966.203125,-838.48724,1820.9049,10.1
-1455974,-374595,966.203125,-838.48724,1820.9049,10.2
-1456062,-374643,965.2239990234375,-830.32837,1806.6616,10.3
-1456149,-374692,965.2239990234375,-830.32837,1806.6616,10.4
-1456236,-374741,963.0067138671875,-830.32837,1806.6616,10.5
-1456325,-374786,963.0067138671875,-830.32837,1806.6616,10.6
-1456415,-374830,961.3038940429688,-830.32837,1806.6616,10.7
-1456507,-374868,961.3038940429688,-824.0244,1794.0967,10.8
-1456598,-374909,961.3038940429688,-824.0244,1794.0967,10.9
-1456689,-374953,958.7536010742188,-824.0244,1794.0967,11.0
-1456780,-374994,958.7536010742188,-824.0244,1794.0967,11.1
-1456874,-375028,956.7258911132812,-817.8977,1789.357,11.2
-1456968,-375063,956.7258911132812,-817.8977,1789.357,11.3
-1457060,-375102,953.3316650390625,-816.4594,1780.852,11.4
-1457153,-375139,953.3316650390625,-816.4594,1780.852,11.5
-1457243,-375180,950.4927368164062,-816.4594,1780.852,11.6
-1457334,-375222,951.1043701171875,-816.4594,1780.852,11.7
-1457425,-375265,947.7379150390625,-816.4594,1780.852,11.8
-1457515,-375306,947.7379150390625,-825.3623,1782.0818,11.9
-1457607,-375348,944.4860229492188,-825.3623,1782.0818,12.0
-1457698,-375389,944.4860229492188,-825.3623,1782.0818,12.1
-1457789,-375428,945.3482666015625,-825.3623,1782.0818,12.2
-1457883,-375465,942.3556518554688,-825.3623,1782.0818,12.3
-1457975,-375502,942.3556518554688,-821.45667,1780.6125,12.4
-1458068,-375541,939.3656005859375,-833.0671,1785.4817,12.5
-1458161,-375576,939.3656005859375,-833.0671,1785.4817,12.6
-1458254,-375612,937.4418334960938,-833.0671,1785.4817,12.7
-1458348,-375649,937.4418334960938,-833.0671,1785.4817,12.8
-1458438,-375692,935.4956665039062,-833.0671,1785.4817,12.9
-1458528,-375736,935.4956665039062,-846.5965,1792.8337,13.0
-1458617,-375780,933.587890625,-846.5965,1792.8337,13.1
-1458706,-375825,934.9601440429688,-846.5965,1792.8337,13.2
-1458797,-375867,934.9601440429688,-846.5965,1792.8337,13.3
-1458889,-375906,933.539794921875,-846.5965,1792.8337,13.4
-1458983,-375942,933.539794921875,-846.5965,1792.8337,13.5
-1459076,-375977,933.249755859375,-856.916,1799.3872,13.6
-1459163,-376028,934.124755859375,-843.17255,1790.602,13.7
-1459251,-376074,934.4453735351562,-843.17255,1790.602,13.8
-1459339,-376121,934.4453735351562,-843.17255,1790.602,13.9
-1459431,-376161,935.3462524414062,-843.17255,1790.602,14.0
-1459520,-376208,936.0650634765625,-848.2512,1793.9462,14.1
-1459611,-376249,937.230224609375,-848.2512,1793.9462,14.2
-1459706,-376279,937.230224609375,-848.2512,1793.9462,14.3
-1459801,-376312,939.13623046875,-848.2512,1793.9462,14.4
-1459895,-376343,939.13623046875,-848.2512,1793.9462,14.5
-1459990,-376377,939.13623046875,-848.2512,1793.9462,14.6
-1460085,-376405,940.9610595703125,-849.64386,1798.1002,14.7
-1460182,-376432,940.9610595703125,-849.64386,1798.1002,14.8
-1460279,-376455,942.951904296875,-849.64386,1798.1002,14.9
-1460377,-376478,942.951904296875,-849.64386,1798.1002,15.0
-1460474,-376502,944.9329223632812,-837.1848,1786.252,15.1
-1460568,-376533,944.9329223632812,-838.7314,1789.797,15.2
-1460659,-376575,946.41650390625,-838.7314,1789.797,15.3
-1460750,-376617,945.0031127929688,-838.7314,1789.797,15.4
-1460843,-376653,945.9716796875,-838.7314,1789.797,15.5
-1460932,-376698,945.9716796875,-838.7314,1789.797,15.6
-1461025,-376737,946.6005859375,-841.3092,1794.3378,15.7
-1461120,-376769,946.6005859375,-841.3092,1794.3378,15.8
-1461215,-376797,946.2210693359375,-841.3092,1794.3378,15.9
-1461310,-376828,945.0097045898438,-841.3092,1794.3378,16.0
-1461405,-376860,944.237060546875,-841.3092,1794.3378,16.1
-1461503,-376883,944.237060546875,-847.34735,1799.3883,16.2
-1461600,-376903,944.237060546875,-847.34735,1799.3883,16.3
-1461699,-376921,942.73046875,-847.34735,1799.3883,16.4
-1461792,-376957,942.73046875,-847.34735,1799.3883,16.5
-1461884,-376996,941.437255859375,-847.34735,1799.3883,16.6
-1461977,-377035,939.9321899414062,-839.1344,1787.0066,16.7
-1462069,-377072,937.8746948242188,-849.94006,1793.9851,16.8
-1462161,-377113,937.8746948242188,-849.94006,1793.9851,16.9
-1462252,-377152,935.2579345703125,-849.94006,1793.9851,17.0
-1462344,-377192,935.2579345703125,-849.94006,1793.9851,17.1
-1462434,-377235,930.8750610351562,-849.94006,1793.9851,17.2
-1462524,-377279,930.8750610351562,-864.99554,1802.8684,17.3
-1462614,-377325,928.258544921875,-864.99554,1802.8684,17.4
-1462704,-377368,928.258544921875,-864.99554,1802.8684,17.5
-1462796,-377407,926.4539184570312,-864.99554,1802.8684,17.6
-1462888,-377447,922.5933227539062,-864.99554,1802.8684,17.7
-1462980,-377486,922.5933227539062,-864.99554,1802.8684,17.8
-1463072,-377523,919.0242919921875,-882.0707,1805.7036,17.9
-1463166,-377560,919.0242919921875,-882.0707,1805.7036,18.0
-1463258,-377596,914.9685668945312,-882.0707,1805.7036,18.1
-1463351,-377635,912.853759765625,-882.0707,1805.7036,18.2
-1463444,-377672,908.8742065429688,-882.0707,1805.7036,18.3
-1463537,-377709,908.8742065429688,-906.2938,1820.3582,18.4
-1463627,-377750,904.7810668945312,-906.2938,1820.3582,18.5
-1463718,-377791,904.7810668945312,-906.2938,1820.3582,18.6
-1463811,-377830,899.4075927734375,-906.2938,1820.3582,18.7
-1463898,-377879,899.4075927734375,-906.2938,1820.3582,18.8
-1463988,-377924,899.4075927734375,-906.2938,1820.3582,18.9
-1464077,-377967,896.3951416015625,-931.683,1837.2592,19.0
-1464167,-378011,894.5172119140625,-928.2527,1829.906,19.1
-1464257,-378057,892.1864624023438,-928.2527,1829.906,19.2
-1464346,-378101,892.1864624023438,-928.2527,1829.906,19.3
-1464435,-378148,890.1796264648438,-928.2527,1829.906,19.4
-1464524,-378192,890.1796264648438,-952.3499,1848.2083,19.5
-1464613,-378237,887.0517578125,-952.3499,1848.2083,19.6
-1464704,-378279,887.0517578125,-952.3499,1848.2083,19.7
-1464795,-378320,887.0517578125,-952.3499,1848.2083,19.8
-1464884,-378368,886.4398803710938,-952.3499,1848.2083,19.9
-1464972,-378413,885.3939208984375,-952.3499,1848.2083,20.0
-1465060,-378463,885.3555908203125,-972.9254,1866.9369,20.1
-1465149,-378507,885.3555908203125,-967.0342,1859.6832,20.2
-1465240,-378550,886.3590087890625,-967.0342,1859.6832,20.3
-1465332,-378589,886.3590087890625,-967.0342,1859.6832,20.4
-1465422,-378633,887.2695922851562,-967.0342,1859.6832,20.5
-1465513,-378674,887.2695922851562,-983.81866,1879.0308,20.6
-1465604,-378713,889.3231201171875,-983.81866,1879.0308,20.7
-1465700,-378742,889.3231201171875,-983.81866,1879.0308,20.8
-1465795,-378774,889.3231201171875,-983.81866,1879.0308,20.9
-1465888,-378811,891.07763671875,-983.81866,1879.0308,21.0
-1465970,-378867,891.07763671875,-983.81866,1879.0308,21.1
-1466054,-378922,893.9703979492188,-998.79156,1899.6339,21.2
-1466141,-378971,893.9703979492188,-998.79156,1899.6339,21.3
-1466232,-379014,895.6126098632812,-991.0997,1890.696,21.4
-1466321,-379058,895.6126098632812,-991.0997,1890.696,21.5
