Easting,Northing,surf,bed,hice,dist
-1449794,-379334,1000.76318359375,-903.605,1911.5415,0.0
-1449694,-379334,1000.76318359375,-903.605,1911.5415,0.1
-1449787,-379368,1000.76318359375,-903.605,1911.5415,0.2
-1449886,-379386,1002.456298828125,-903.605,1911.5415,0.3
-1449985,-379373,1002.456298828125,-903.605,1911.5415,0.4
-1450084,-379363,1004.0191040039062,-887.14276,1898.8148,0.5
-1450184,-379364,1004.0191040039062,-887.14276,1898.8148,0.6
-1450282,-379384,1005.4091796875,-887.14276,1898.8148,0.7
-1450369,-379435,1005.22705078125,-887.14276,1898.8148,0.8
-1450457,-379482,1006.0601806640625,-887.14276,1898.8148,0.9
-1450552,-379512,1006.0601806640625,-867.3774,1880.417,1.0
-1450648,-379542,1006.6910400390625,-867.3774,1880.417,1.1
-1450738,-379583,1006.6910400390625,-867.3774,1880.417,1.2
-1450829,-379626,1005.721435546875,-867.3774,1880.417,1.3
-1450918,-379672,1005.721435546875,-867.3774,1880.417,1.4
-1451008,-379715,1005.0831298828125,-855.54614,1867.3903,1.5
-1451101,-379752,1005.0831298828125,-855.54614,1867.3903,1.6
-1451193,-379792,1005.0831298828125,-855.54614,1867.3903,1.7
-1451283,-379835,1002.6636962890625,-855.54614,1867.3903,1.8
-1451371,-379882,1002.6636962890625,-855.54614,1867.3903,1.9
-1451459,-379930,1000.68408203125,-855.54614,1867.3903,2.0
-1451547,-379978,1000.68408203125,-846.96173,1855.034,2.1
-1451635,-380025,996.1889038085938,-841.54315,1845.5459,2.2
-1451722,-380074,996.1889038085938,-841.54315,1845.5459,2.3
-1451810,-380122,992.3165893554688,-841.54315,1845.5459,2.4
-1451898,-380170,992.3165893554688,-841.54315,1845.5459,2.5
-1451986,-380216,990.8475341796875,-841.54315,1845.5459,2.6
-1452075,-380263,986.6185302734375,-835.2396,1830.8408,2.7
-1452163,-380310,986.6185302734375,-835.2396,1830.8408,2.8
-1452250,-380358,981.4228515625,-835.2396,1830.8408,2.9
-1452338,-380407,980.795654296875,-835.2396,1830.8408,3.0
-1452427,-380452,976.2061767578125,-835.2396,1830.8408,3.1
-1452516,-380498,976.2061767578125,-832.56085,1817.021,3.2
-1452607,-380540,971.6859130859375,-820.41016,1805.4033,3.3
-1452697,-380583,971.6859130859375,-820.41016,1805.4033,3.4
-1452787,-380626,972.0982055664062,-820.41016,1805.4033,3.5
-1452876,-380672,968.8623657226562,-820.41016,1805.4033,3.6
-1452960,-380726,968.8623657226562,-820.41016,1805.4033,3.7
-1453035,-380791,966.7789306640625,-813.86725,1792.6512,3.8
-1453122,-380842,968.7256469726562,-813.86725,1792.6512,3.9
-1453209,-380892,968.2146606445312,-813.86725,1792.6512,4.0
-1453298,-380937,968.2146606445312,-813.86725,1792.6512,4.1
-1453390,-380976,968.2146606445312,-813.86725,1792.6512,4.2
-1453484,-381009,971.6375732421875,-799.4677,1784.2822,4.3
-1453581,-381032,971.6375732421875,-788.75574,1774.4175,4.4
-1453678,-381059,973.6450805664062,-788.75574,1774.4175,4.5
-1453774,-381086,973.6450805664062,-788.75574,1774.4175,4.6
-1453869,-381117,975.8493041992188,-788.75574,1774.4175,4.7
-1453967,-381140,975.8493041992188,-788.75574,1774.4175,4.8
-1454037,-381211,980.9631958007812,-776.3055,1766.9216,4.9
-1454131,-381246,980.9631958007812,-776.3055,1766.9216,5.0
-1454227,-381270,983.2940063476562,-776.3055,1766.9216,5.1
-1454315,-381319,983.2940063476562,-776.3055,1766.9216,5.2
-1454408,-381357,984.9961547851562,-776.3055,1766.9216,5.3
-1454495,-381406,987.546875,-776.3055,1766.9216,5.4
-1454584,-381452,987.546875,-764.87213,1760.7333,5.5
-1454673,-381497,988.247802734375,-764.87213,1760.7333,5.6
-1454760,-381545,988.247802734375,-751.82666,1750.829,5.7
-1454847,-381594,988.781005859375,-751.82666,1750.829,5.8
-1454935,-381642,990.034912109375,-751.82666,1750.829,5.9
-1455028,-381678,989.5488891601562,-745.2867,1743.951,6.0
-1455121,-381717,989.5488891601562,-745.2867,1743.951,6.1
-1455213,-381754,988.1948852539062,-745.2867,1743.951,6.2
-1455305,-381794,988.1948852539062,-745.2867,1743.951,6.3
-1455398,-381833,988.2105102539062,-745.2867,1743.951,6.4
-1455490,-381869,985.9573364257812,-745.2867,1743.951,6.5
-1455584,-381906,985.9573364257812,-743.6754,1737.7264,6.6
-1455677,-381940,982.7781372070312,-743.6754,1737.7264,6.7
-1455771,-381976,982.7781372070312,-743.6754,1737.7264,6.8
-1455864,-382014,978.032470703125,-734.9338,1727.3921,6.9
-1455957,-382050,978.032470703125,-734.9338,1727.3921,7.0
-1456050,-382087,973.7769775390625,-740.13165,1722.1359,7.1
-1456143,-382124,973.7769775390625,-740.13165,1722.1359,7.2
-1456236,-382158,969.5111694335938,-740.13165,1722.1359,7.3
-1456330,-382193,969.5111694335938,-740.13165,1722.1359,7.4
-1456424,-382229,963.2803344726562,-740.13165,1722.1359,7.5
-1456517,-382265,963.2803344726562,-748.0831,1718.3335,7.6
-1456610,-382302,958.79150390625,-748.0831,1718.3335,7.7
-1456703,-382339,958.79150390625,-748.0831,1718.3335,7.8
-1456795,-382376,958.79150390625,-748.0831,1718.3335,7.9
-1456888,-382415,953.3182373046875,-748.0831,1718.3335,8.0
-1456980,-382452,953.3182373046875,-748.0831,1718.3335,8.1
-1457073,-382491,949.4323120117188,-756.3719,1716.1237,8.2
-1457166,-382528,949.4323120117188,-750.38715,1707.7542,8.3
-1457260,-382562,946.2453002929688,-750.38715,1707.7542,8.4
-1457354,-382595,946.2453002929688,-750.38715,1707.7542,8.5
-1457448,-382628,942.2146606445312,-750.38715,1707.7542,8.6
-1457542,-382662,942.2146606445312,-759.7529,1708.4553,8.7
-1457636,-382696,940.1859130859375,-759.7529,1708.4553,8.8
-1457729,-382732,940.1859130859375,-759.7529,1708.4553,8.9
-1457822,-382770,938.8446655273438,-759.7529,1708.4553,9.0
-1457914,-382808,937.13623046875,-759.7529,1708.4553,9.1
-1458007,-382847,936.1195068359375,-767.05707,1711.2926,9.2
-1458099,-382884,936.1195068359375,-767.05707,1711.2926,9.3
-1458191,-382924,936.1195068359375,-767.05707,1711.2926,9.4
-1458282,-382965,935.610595703125,-767.05707,1711.2926,9.5
-1458374,-383005,933.4981079101562,-765.1866,1705.3473,9.6
-1458466,-383046,933.1447143554688,-765.1866,1705.3473,9.7
-1458557,-383085,933.1447143554688,-773.837,1710.188,9.8
-1458649,-383124,932.9380493164062,-773.837,1710.188,9.9
-1458742,-383163,932.9380493164062,-773.837,1710.188,10.0
-1458834,-383202,929.9808349609375,-773.837,1710.188,10.1
-1458926,-383240,929.9808349609375,-773.837,1710.188,10.2
-1459019,-383278,929.8423461914062,-779.9072,1715.0363,10.3
-1459111,-383315,929.8423461914062,-779.9072,1715.0363,10.4
-1459205,-383352,929.2562255859375,-779.9072,1715.0363,10.5
-1459298,-383389,929.2562255859375,-779.9072,1715.0363,10.6
-1459390,-383425,926.191650390625,-779.9072,1715.0363,10.7
-1459483,-383464,925.7295532226562,-779.9072,1715.0363,10.8
-1459576,-383500,925.7295532226562,-789.568,1715.9259,10.9
-1459669,-383536,924.9848022460938,-789.568,1715.9259,11.0
-1459762,-383572,924.9848022460938,-789.568,1715.9259,11.1
-1459855,-383609,921.28466796875,-789.568,1715.9259,11.2
-1459948,-383646,921.28466796875,-789.568,1715.9259,11.3
-1460040,-383685,919.9666748046875,-795.9123,1721.5369,11.4
-1460132,-383724,919.9666748046875,-795.9123,1721.5369,11.5
-1460225,-383761,918.6826171875,-795.9123,1721.5369,11.6
-1460318,-383798,918.6826171875,-795.9123,1721.5369,11.7
-1460410,-383837,915.4732055664062,-795.9123,1721.5369,11.8
-1460503,-383873,915.4732055664062,-804.41705,1727.7833,11.9
-1460596,-383910,915.4732055664062,-804.41705,1727.7833,12.0
-1460689,-383947,913.6476440429688,-804.41705,1727.7833,12.1
-1460782,-383984,913.6476440429688,-804.41705,1727.7833,12.2
-1460874,-384023,911.1961669921875,-803.6186,1725.679,12.3
-1460965,-384065,911.1961669921875,-803.6186,1725.679,12.4
-1461057,-384103,908.7509765625,-814.07794,1733.428,12.5
-1461152,-384136,908.7509765625,-814.07794,1733.428,12.6
-1461245,-384173,905.761962890625,-814.07794,1733.428,12.7
-1461339,-384205,906.3889770507812,-814.07794,1733.428,12.8
-1461433,-384240,903.0116577148438,-814.07794,1733.428,12.9
-1461527,-384275,903.0116577148438,-829.4913,1741.9009,13.0
-1461620,-384310,898.8539428710938,-829.4913,1741.9009,13.1
-1461714,-384344,898.8539428710938,-829.4913,1741.9009,13.2
-1461810,-384374,894.7124633789062,-829.4913,1741.9009,13.3
-1461906,-384401,895.5363159179688,-829.4913,1741.9009,13.4
-1462002,-384428,891.1647338867188,-849.2455,1751.044,13.5
-1462099,-384454,891.1647338867188,-849.2455,1751.044,13.6
-1462195,-384481,891.1647338867188,-849.2455,1751.044,13.7
-1462292,-384505,886.8041381835938,-844.6511,1749.5316,13.8
-1462390,-384526,886.8041381835938,-844.6511,1749.5316,13.9
-1462488,-384548,882.8988647460938,-844.6511,1749.5316,14.0
-1462584,-384573,882.8988647460938,-865.333,1759.7052,14.1
-1462681,-384598,879.876953125,-865.333,1759.7052,14.2
-1462776,-384630,881.3938598632812,-865.333,1759.7052,14.3
-1462870,-384665,879.3353881835938,-865.333,1759.7052,14.4
-1462967,-384691,879.3353881835938,-865.333,1759.7052,14.5
-1463057,-384733,878.2584838867188,-881.3943,1770.6978,14.6
-1463147,-384776,878.2584838867188,-881.3943,1770.6978,14.7
-1463238,-384818,879.5926513671875,-881.3943,1770.6978,14.8
-1463332,-384851,879.5926513671875,-881.3943,1770.6978,14.9
-1463426,-384886,879.8736572265625,-881.3943,1770.6978,15.0
-1463520,-384920,879.8736572265625,-894.3289,1783.1378,15.1
-1463613,-384956,880.900146484375,-894.3289,1783.1378,15.2
-1463706,-384994,880.900146484375,-894.3289,1783.1378,15.3
-1463797,-385035,881.6893920898438,-890.0476,1780.4597,15.4
-1463886,-385081,882.9630737304688,-890.0476,1780.4597,15.5
-1463974,-385128,882.9630737304688,-890.0476,1780.4597,15.6
-1464063,-385173,884.885009765625,-902.05054,1793.9398,15.7
-1464152,-385219,884.693359375,-902.05054,1793.9398,15.8
-1464243,-385261,886.31884765625,-902.05054,1793.9398,15.9
-1464335,-385301,886.31884765625,-902.05054,1793.9398,16.0
-1464427,-385340,888.0345458984375,-902.05054,1793.9398,16.1
-1464519,-385378,888.0345458984375,-912.0113,1807.275,16.2
-1464609,-385423,888.1508178710938,-912.0113,1807.275,16.3
-1464696,-385471,888.1508178710938,-912.0113,1807.275,16.4
-1464784,-385519,888.1508178710938,-911.6335,1803.3164,16.5
-1464871,-385569,889.7202758789062,-911.6335,1803.3164,16.6
-1464961,-385613,887.7855224609375,-911.6335,1803.3164,16.7
-1465055,-385647,889.1093139648438,-920.6645,1814.7932,16.8
-1465147,-385685,889.1093139648438,-920.6645,1814.7932,16.9
-1465234,-385735,890.093505859375,-920.6645,1814.7932,17.0
-1465318,-385788,890.093505859375,-920.6645,1814.7932,17.1
-1465409,-385831,889.2568359375,-920.6645,1814.7932,17.2
-1465500,-385871,889.2568359375,-920.6645,1814.7932,17.3
-1465591,-385912,889.2568359375,-928.29974,1825.0754,17.4
-1465683,-385953,890.4694213867188,-928.29974,1825.0754,17.5
-1465774,-385995,890.4694213867188,-928.29974,1825.0754,17.6
-1465864,-386038,889.7138061523438,-926.552,1819.5853,17.7
-1465953,-386084,889.7138061523438,-926.552,1819.5853,17.8
-1466041,-386130,890.786865234375,-932.3574,1828.4552,17.9
-1466131,-386174,890.786865234375,-932.3574,1828.4552,18.0
-1466222,-386215,890.9696044921875,-932.3574,1828.4552,18.1
-1466316,-386250,890.9696044921875,-932.3574,1828.4552,18.2
-1466405,-386296,892.3363647460938,-932.3574,1828.4552,18.3
